AD,ADRES,TEL,NOT
Al-i Aba Vakfı Cemevi,"Evliya Çelebi, Veysel Karani Sk. No:14, 34944 Tuzla/İstanbul",(0216) 447 47 36,
HAKEV Vakfı Tuzla Cem ve Kültür Evi,"Aydınlı, Yankı Sk. No:9, 34953 Tuzla/İstanbul",(0216) 393 10 81,
Sultan Derneği Tuzla Şubesi Cem Evi,"Mimar Sinan, Tolgahan Sk. No:25, 34950 Tuzla/İstanbul",(0216) 423 58 26,
Şifa Mahallesi Cemevi,"Mimar Sinan, Tolgahan Sk. No:25, 34950 Tuzla/İstanbul",,
Konaşlı Hz. İmam Ali Cemevi,"Aydınlı, Ferahnaz Sk., 34956 Tuzla/İstanbul",,
Seyit Seyfi Cem Evi,"Fatih, Fedakar Sk. No:25, 34903 Tuzla/İstanbul",,24 saat açık
Tuzla Orta Mahalle Cem Kültür Evi,"Orta, Cengizhan Cd., 34956 Tuzla/İstanbul",,
PKBV Tuzla Protestan Kilisesi,"Cami, Cumhuriyet Cd. No:2, 34940 Tuzla/İstanbul",0544 677 50 66,Pazar 10:30 açılış
