MAHALLE,ADRES,PARKLARIMIZ,ENLEM,BOYLAM,UHDE,TOPLAM ALAN,BASKETBOL SAHASI,ÇOK AMACLI SAHA,FUTBOL SAHASI,HALI SAHA,TENIS KORTU,COCUK OYUN GRUBU SAYISI,FITNESS GRUBU SAYISI
POSTANE,RAUF ORBAY CAD.,GÖL BOYU PARKI,40.82236542071348,29.28943188875836,Tuzla,1500,0,0,0,0,0,0,0
POSTANE,ŞEREF SOK.,ORHAN GAZİ PARKI,40.82444131788416,29.284745329487546,Tuzla,4400,0,0,0,0,0,1,1
POSTANE,SİMGE SOK.,OSMAN GAZİ PARKI,40.8196229600567,29.301575364738323,Tuzla,3560,0,0,0,0,0,1,1
POSTANE,SÜMER SOK.,SÜMER SOKAK PARKI,40.82111045102434,29.303265647626215,Tuzla,390,0,0,0,0,0,1,1
POSTANE,SUNAY SOK.,BAHÇELER PARKI,40.81901809641779,29.30392243279557,Tuzla,620,1,0,0,0,0,1,0
POSTANE,AHMET KILIÇ CADDESİ,SAHİL 2. ETAP PARKI,40.813351041391,29.28109008900876,Tuzla,28905,0,0,0,0,0,2,2
POSTANE,UĞURLU SOK.,UĞURLU SOKAK PARKI 2018 ,40.81522647445659,29.27187186047788,Tuzla,1100,0,0,0,0,0,1,1
POSTANE,YALIBOYU CAD.,KARDELEN PARKI,40.818643022888196,29.28857757259697,Tuzla,3100,0,0,0,0,0,1,1
POSTANE ,SEMA SOKAK,PATİ PARK,40.82136863705957,29.285635448372325,Tuzla,1000,0,0,0,0,0,0,0
ŞİFA,19 MAYIS CAD.,19 MAYIS CAD. DİNLENME ALANI,40.8320973375031,29.35956011129329,Tuzla,250,0,0,0,0,0,0,0
ŞİFA,BAŞAR SOK.,ŞEHİT BAHADIRHAN SOLAK PARKI,40.830989148380326,29.35624755448985,Tuzla,2186,1,0,0,0,0,1,0
ŞİFA,D-100 YANYOL,Ş.Uzm.ÇAVUŞ ERTAN BAYRAKTAR,40.823553848781465,29.35345542558561,Tuzla,7500,0,0,0,1,0,1,1
ŞİFA,DİNÇÖZ SOK.,MEVLANA CAMİ YANI,40.837787923051636,29.357949815188913,Tuzla,1057,0,0,0,0,0,1,1
ŞİFA,MECİDİYE SOK.,MECİDİYE PARKI,40.832254591243874,29.35427952950215,Tuzla,1000,1,0,0,0,0,1,1
ŞİFA,SHT.ER SEZGİN ZORBA SOK.,ŞHT.ER SEZGİN ZORBA,40.827994442245654,29.35411044538956,Tuzla,3500,0,1,0,0,0,1,1
TEPEÖREN,GÖKALP SOK.,KUDRET PARKI,40.90847325196291,29.390001493091933,Tuzla,435,0,0,0,0,0,1,1
TEPEÖREN,KIYI,KİRAZLI MEVKİİ KIYI SOKAK PARKI,40.91143528857806,29.40393088658518,Tuzla,300,0,0,0,0,0,0,0
TEPEÖREN,MEDENİYET BULVARI,MEDENİYET BULVARI PARKI 2018,40.91325452070086,29.389707948762652,Tuzla,4153,0,1,0,0,0,2,2
YAYLA ,ADABÜK SOK.,YAVUZ SELİM PARKI,40.83682356953456,29.307724298505924,Tuzla,2530,0,0,0,0,0,1,1
YAYLA ,AHU SOK.,AHU SOK. PARKI 2017,40.829655546510025,29.303155005347694,Tuzla,2800,1,0,0,0,0,2,1
YAYLA ,BARBAROS HAYRETTİN CAD.,MAVİ EVLER PARKI,40.83030571555208,29.29958976187594,Tuzla,330,0,0,0,0,0,1,1
YAYLA ,BOĞAZ SOK.,ŞEHİT J.ER NECMİ YILDIRIM PARKI,40.833217145671874,29.30243296261415,Tuzla,1840,0,1,0,0,0,1,1
YAYLA ,BOĞAZ SOK.,ANADOLU PARKI,40.832593358740674,29.30111788692368,Tuzla,3500,0,1,0,0,0,1,1
YAYLA ,DENİZHAN SOK.,DENİZHAN PARKI,40.82618798128271,29.30326923124534,Tuzla,815,0,1,0,0,0,1,1
YAYLA ,DÖNENCE SOK.,ZEYTİNLİK PARKI,40.82803214421562,29.304943319080937,Tuzla,1305,0,0,0,0,0,1,1
YAYLA ,DUA SOK.,HÜSEYİN ÇAKIR PARKI ,40.830151509545786,29.30919204086466,Tuzla,2560,0,0,0,0,0,1,1
YAYLA ,ERCÜMENT SOK.,M.AKİF ERSOY PARKI,40.8354617221195,29.304323179349943,Tuzla,4100,0,0,0,0,0,2,1
YAYLA ,GAZALİ SOK.,GAZALİ SOKAK PARK ALANI,40.82653792498476,29.306564202044473,Tuzla,1229,0,0,0,0,0,0,0
YAYLA ,GAZİ OSMANPAŞA CAD.,YAYLA ÇOCUK PARKI,40.83020709637259,29.312373306459765,Tuzla,260,1,0,0,0,0,1,1
YAYLA ,HATBOYU CAD.,TOROS EVLERİ PARKI,40.83469493374041,29.313858528967554,İBB,9789,0,0,0,0,0,1,1
YAYLA ,YAYLA YOLU,YAYLA YOLU PARKI,40.82208500240158,29.304166848649505,Tuzla,1036,0,0,0,0,0,0,0
