OKUL ADI;ADRES;TELEFON;FAX;WEB ADRES;KURUM TUR ADI
TUZLA BORSA İSTANBUL MESLEKİ VE TEKNİK ANADOLU LİSESİ;Aydınlı Mah. Aydınlık Cad. No: 49 İç Kapı No: 1 Tuzla / İstanbul;(216) 393 69 71;(216) 393 69 72;tuzlabistmtal.meb.k12.tr;Anadolu Meslek Programı
TUZLA CEZERİ MESLEKİ VE TEKNİK ANADOLU LİSESİ;Yayla Mah. Şinasi Dural Cadde No:51 Tuzla/İstanbul;(216) 446 46 21;(216) 446 46 22;tuzlacezerimtal.meb.k12.tr;Anadolu Meslek Programı
TUZLA EMLAK KONUT CEMİL MERİÇ ANAOKULU;Aydınlı Mah. İlteriş Sk. Cemıl Merıç Ilk Ve Ortaokulu Blok No: 3 İç Kapı No: 1 Tuzla / İstanbul;0;0;770096.meb.k12.tr;Anaokulu
TUZLA EMLAK KONUT CEMİL MERİÇ İLKOKULU;Aydınlı Mah. İlteriş Sk. Emlakkonut Okul Sitesi - Blok No: 3 İç Kapı No: 1 Tuzla / İstanbul;(216) 290 36 18;(216) 290 36 18;tuzlaemlakkonutcmio.meb.k12.tr;İlkokul
TUZLA EMLAK KONUT CEMİL MERİÇ ORTAOKULU;Aydınlı Mah. İlteriş Sk. Emlakkonut Okul Sitesi - Blok No: 3 İç Kapı No: 1 Tuzla / İstanbul;(216) 290 36 18;(216) 290 36 18;tuzlaemlakkonutcmoo.meb.k12.tr;Ortaokul
TUZLA HALİL TÜRKKAN KIZ ANADOLU İMAM HATİP LİSESİ;Aydınlı Mah. Aydınlı Yolu Cad. Halıl Türkkan Kız Anadolu Imamhatıp Blok No: 115B İç Kapı No: 1 Tuzla / İstanbul;(216) 493 36 43;(216) 392 39 00;halilturkkankaihl.meb.k12.tr;İmam Hatip Lisesi
TUZLA HALK EĞİTİMİ MERKEZİ;Evliya Çelebi Mah. Gündoğdu Sk. No: 3 Tuzla / İstanbul;(216) 395 77 43;(216) 395 86 13;tuzlahem.meb.k12.tr;Halk Eğitimi Merkezi
TUZLA MAHİR İZ ANADOLU İMAM HATİP LİSESİ;Yayla Mah. Ressam Sokak No:1 Pk:34944 Tuzla/İstanbul;(216) 395 95 40;(216) 395 95 47;tuzlamahirizaihl.meb.k12.tr;Anadolu İmam Hatip Lisesi
TUZLA MESLEKİ EĞİTİM MERKEZİ;Evliya Çelebi Mah. Gündoğdu Sk. No: 3 Tuzla / İstanbul;(216) 701 24 97;(216) 701 24 97;tuzlamem.meb.k12.tr;Mesleki Eğitim Merkezi
TUZLA MESLEKİ VE TEKNİK ANADOLU LİSESİ;Yayla Mah. Durmaz Sokak No:17 Pk:34944 Tuzla/İstanbul;(216) 395 31 96;(216) 395 41 51;tuzlamtal.meb.k12.tr;Anadolu Meslek Programı
